itemsets,support
服装,0.4872285037037037
电子产品,0.48423505925925925
电子产品_智能手机,0.07281245185185185
电子产品_耳机,0.0714134
服装_内衣,0.0700034888888889
电子产品_笔记本电脑,0.07059084444444444
服装_帽子,0.0689296074074074
服装_上衣,0.06606367407407407
电子产品_摄像机,0.062085666666666664
食品,0.48462228148148145
电子产品_平板电脑,0.06889285185185186
食品_调味品,0.06466276296296296
家居,0.25117245185185183
家居_卫浴用品,0.07396575555555555
食品_蔬菜,0.06744536296296297
玩具,0.20028917037037036
服装_裤子,0.07114585925925926
玩具_玩具,0.06686872592592592
食品_水产,0.0655160074074074
服装_鞋子,0.0632343037037037
汽车用品,0.1311373925925926
汽车用品_车载电子,0.06888514074074074
办公,0.1367442148148148
办公_文具,0.07537228148148148
母婴,0.13483177777777777
母婴_儿童课外读物,0.07001002962962963
食品_肉类,0.06889398518518519
食品_零食,0.07201922222222222
电子产品_音响,0.06320446666666667
食品_水果,0.07366896296296296
玩具_模型,0.0759296
电子产品_智能手表,0.07030314814814814
母婴_婴儿用品,0.06916871851851852
服装_裙子,0.07221472592592593
家居_床上用品,0.06693833333333334
运动户外,0.13299175555555556
运动户外_健身器材,0.07059355555555556
服装_手套,0.06750016296296296
电子产品_游戏机,0.07114345185185185
电子产品_相机,0.06888159259259259
家居_家具,0.06863259259259259
食品_蛋奶,0.0669151111111111
玩具_益智玩具,0.07089191111111111
食品_饮料,0.07307030370370371
运动户外_户外装备,0.06662045925925926
家居_厨具,0.0663394074074074
服装_外套,0.06972815555555556
服装_围巾,0.07561716296296296
食品_米面,0.06777105925925926
办公_办公用品,0.0658134
汽车用品_汽车装饰,0.06635956296296296
"电子产品, 服装",0.2224372888888889
"食品, 电子产品",0.2212706222222222
"食品, 电子产品, 服装",0.09896354074074074
"电子产品_智能手机, 电子产品",0.07281245185185185
"电子产品_智能手机, 服装",0.03283012592592593
"电子产品_智能手机, 食品",0.032657837037037035
"电子产品_智能手机, 电子产品, 服装",0.03283012592592593
"电子产品_智能手机, 食品, 电子产品",0.032657837037037035
"电子产品_耳机, 电子产品",0.0714134
"电子产品_耳机, 服装",0.032208814814814815
"电子产品_耳机, 食品",0.03205524444444444
"电子产品_耳机, 电子产品, 服装",0.032208814814814815
"电子产品_耳机, 食品, 电子产品",0.03205524444444444
"服装, 服装_内衣",0.0700034888888889
"电子产品, 服装_内衣",0.03137908148148148
"食品, 服装_内衣",0.0313947037037037
"电子产品, 服装, 服装_内衣",0.03137908148148148
"食品, 服装, 服装_内衣",0.0313947037037037
"电子产品_笔记本电脑, 电子产品",0.07059084444444444
"电子产品_笔记本电脑, 服装",0.03183658518518519
"电子产品_笔记本电脑, 食品",0.03167006666666667
"电子产品_笔记本电脑, 电子产品, 服装",0.03183658518518519
"电子产品_笔记本电脑, 食品, 电子产品",0.03167006666666667
"服装_帽子, 服装",0.0689296074074074
"服装_帽子, 电子产品",0.03087748148148148
"食品, 服装_帽子",0.03092182962962963
"服装_帽子, 电子产品, 服装",0.03087748148148148
"食品, 服装_帽子, 服装",0.03092182962962963
"服装_上衣, 服装",0.06606367407407407
"电子产品, 服装_上衣",0.029596955555555554
"食品, 服装_上衣",0.02962185925925926
"电子产品, 服装_上衣, 服装",0.029596955555555554
"食品, 服装_上衣, 服装",0.02962185925925926
"电子产品, 电子产品_摄像机",0.062085666666666664
"服装, 电子产品_摄像机",0.027994296296296295
"食品, 电子产品_摄像机",0.027819629629629628
"电子产品, 服装, 电子产品_摄像机",0.027994296296296295
"食品, 电子产品, 电子产品_摄像机",0.027819629629629628
"食品, 服装",0.22260401481481482
"电子产品_平板电脑, 电子产品",0.06889285185185186
"电子产品_平板电脑, 食品",0.030895703703703703
"电子产品_平板电脑, 服装",0.031084185185185187
"电子产品_平板电脑, 食品, 电子产品",0.030895703703703703
"电子产品_平板电脑, 电子产品, 服装",0.031084185185185187
"食品_调味品, 食品",0.06466276296296296
"食品_调味品, 电子产品",0.02898325185185185
"食品_调味品, 服装",0.029154214814814814
"食品_调味品, 食品, 电子产品",0.02898325185185185
"食品_调味品, 食品, 服装",0.029154214814814814
"家居, 食品",0.11361722962962963
"家居, 电子产品",0.1134786
"家居, 服装",0.11419311851851852
"家居, 食品, 服装",0.049568362962962964
"家居, 食品, 电子产品",0.04923488888888889
"家居, 电子产品, 服装",0.04949925925925926
"家居_卫浴用品, 家居",0.07396575555555555
"家居_卫浴用品, 食品",0.03319673333333333
"家居_卫浴用品, 服装",0.03336394814814815
"家居_卫浴用品, 电子产品",0.03314488888888889
"家居_卫浴用品, 家居, 食品",0.03319673333333333
"家居_卫浴用品, 家居, 服装",0.03336394814814815
"家居_卫浴用品, 家居, 电子产品",0.03314488888888889
"食品, 食品_蔬菜",0.06744536296296297
"电子产品, 食品_蔬菜",0.03021883703703704
"食品_蔬菜, 服装",0.030420985185185184
"食品, 电子产品, 食品_蔬菜",0.03021883703703704
"食品, 食品_蔬菜, 服装",0.030420985185185184
"玩具, 服装",0.09088912592592592
"玩具, 食品",0.09033748148148148
"玩具, 电子产品",0.0903066
"家居, 玩具",0.04611986666666667
"玩具, 食品, 服装",0.03919041481481481
"玩具, 食品, 电子产品",0.03896579259259259
"玩具, 电子产品, 服装",0.039203911111111114
"服装_裤子, 服装",0.07114585925925926
"服装_裤子, 食品",0.03190454074074074
"服装_裤子, 电子产品",0.0318896
"服装_裤子, 食品, 服装",0.03190454074074074
"服装_裤子, 电子产品, 服装",0.0318896
"玩具, 玩具_玩具",0.06686872592592592
"食品, 玩具_玩具",0.029974644444444445
"玩具_玩具, 服装",0.030175896296296297
"玩具_玩具, 电子产品",0.029983992592592594
"玩具, 食品, 玩具_玩具",0.029974644444444445
"玩具, 服装, 玩具_玩具",0.030175896296296297
"玩具, 电子产品, 玩具_玩具",0.029983992592592594
"食品, 食品_水产",0.0655160074074074
"食品_水产, 服装",0.029539992592592594
"电子产品, 食品_水产",0.029356503703703702
"食品, 食品_水产, 服装",0.029539992592592594
"食品, 电子产品, 食品_水产",0.029356503703703702
"服装_鞋子, 服装",0.0632343037037037
"服装_鞋子, 电子产品",0.02833902222222222
"服装_鞋子, 食品",0.028351333333333333
"服装_鞋子, 电子产品, 服装",0.02833902222222222
"服装_鞋子, 食品, 服装",0.028351333333333333
"汽车用品, 食品",0.058970777777777775
"汽车用品, 电子产品",0.05891933333333333
"汽车用品, 服装",0.059298222222222224
"汽车用品, 玩具",0.02387171111111111
"汽车用品, 家居",0.030053007407407406
"汽车用品, 食品, 服装",0.025439237037037037
"汽车用品, 食品, 电子产品",0.025251503703703704
"汽车用品, 电子产品, 服装",0.025399496296296297
"汽车用品, 汽车用品_车载电子",0.06888514074074074
"汽车用品_车载电子, 电子产品",0.030867585185185186
"汽车用品_车载电子, 食品",0.030871014814814815
"汽车用品_车载电子, 服装",0.031070474074074074
"汽车用品, 汽车用品_车载电子, 电子产品",0.030867585185185186
"汽车用品, 汽车用品_车载电子, 食品",0.030871014814814815
"汽车用品, 汽车用品_车载电子, 服装",0.031070474074074074
"办公, 电子产品",0.06146054814814815
"办公, 服装",0.061859844444444444
"食品, 办公",0.061518525925925924
"家居, 办公",0.031362666666666664
"玩具, 办公",0.024926607407407406
"办公, 电子产品, 服装",0.026515577777777778
"食品, 办公, 电子产品",0.026360362962962965
"食品, 办公, 服装",0.026540985185185186
"办公_文具, 办公",0.07537228148148148
"办公_文具, 电子产品",0.03377017037037037
"办公_文具, 服装",0.03399822222222222
"食品, 办公_文具",0.033821985185185185
"办公_文具, 办公, 电子产品",0.03377017037037037
"办公_文具, 办公, 服装",0.03399822222222222
"食品, 办公, 办公_文具",0.033821985185185185
"服装, 母婴",0.06097977777777778
"食品, 母婴",0.06061509629629629
"电子产品, 母婴",0.060620822222222225
"家居, 母婴",0.03089380740740741
"玩具, 母婴",0.024562614814814816
"食品, 服装, 母婴",0.02613448888888889
"电子产品, 服装, 母婴",0.026152318518518517
"食品, 电子产品, 母婴",0.025974948148148148
"母婴_儿童课外读物, 母婴",0.07001002962962963
"母婴_儿童课外读物, 服装",0.031573
"食品, 母婴_儿童课外读物",0.03137928148148148
"电子产品, 母婴_儿童课外读物",0.031382
"母婴_儿童课外读物, 服装, 母婴",0.031573
"食品, 母婴_儿童课外读物, 母婴",0.03137928148148148
"电子产品, 母婴_儿童课外读物, 母婴",0.031382
"食品, 食品_肉类",0.06889398518518519
"服装, 食品_肉类",0.03105759259259259
"电子产品, 食品_肉类",0.030884037037037036
"食品, 服装, 食品_肉类",0.03105759259259259
"食品, 电子产品, 食品_肉类",0.030884037037037036
"食品_零食, 食品",0.07201922222222222
"食品_零食, 电子产品",0.03229121481481481
"食品_零食, 服装",0.03247905925925926
"食品_零食, 食品, 电子产品",0.03229121481481481
"食品_零食, 食品, 服装",0.03247905925925926
"电子产品, 电子产品_音响",0.06320446666666667
"食品, 电子产品_音响",0.02835014814814815
"服装, 电子产品_音响",0.028488362962962963
"食品, 电子产品, 电子产品_音响",0.02835014814814815
"电子产品, 服装, 电子产品_音响",0.028488362962962963
"食品, 食品_水果",0.07366896296296296
"电子产品, 食品_水果",0.033028785185185185
"食品_水果, 服装",0.03323007407407407
"电子产品, 食品, 食品_水果",0.033028785185185185
"食品, 食品_水果, 服装",0.03323007407407407
"玩具, 玩具_模型",0.0759296
"电子产品, 玩具_模型",0.034039822222222224
"食品, 玩具_模型",0.034048466666666666
"玩具_模型, 服装",0.03424782962962963
"玩具, 电子产品, 玩具_模型",0.034039822222222224
"玩具, 食品, 玩具_模型",0.034048466666666666
"玩具_模型, 玩具, 服装",0.03424782962962963
"电子产品_智能手表, 电子产品",0.07030314814814814
"电子产品_智能手表, 食品",0.03154654074074074
"电子产品_智能手表, 服装",0.03170484444444444
"电子产品_智能手表, 食品, 电子产品",0.03154654074074074
"电子产品_智能手表, 电子产品, 服装",0.03170484444444444
"母婴_婴儿用品, 母婴",0.06916871851851852
"食品, 母婴_婴儿用品",0.0310054
"母婴_婴儿用品, 服装",0.031192044444444445
"母婴_婴儿用品, 电子产品",0.031010948148148147
"食品, 母婴_婴儿用品, 母婴",0.0310054
"母婴_婴儿用品, 服装, 母婴",0.031192044444444445
"母婴_婴儿用品, 电子产品, 母婴",0.031010948148148147
"服装_裙子, 服装",0.07221472592592593
"服装_裙子, 电子产品",0.03236397037037037
"服装_裙子, 食品",0.03239381481481481
"服装_裙子, 电子产品, 服装",0.03236397037037037
