itemsets,support
frozenset({'支付方式_微信支付'}),0.1428451037037037
frozenset({'智能手机'}),0.07281245185185185
frozenset({'耳机'}),0.0714134
frozenset({'内衣'}),0.0700034888888889
frozenset({'笔记本电脑'}),0.07059084444444444
frozenset({'帽子'}),0.0689296074074074
frozenset({'上衣'}),0.06606367407407407
frozenset({'摄像机'}),0.062085666666666664
frozenset({'支付方式_信用卡'}),0.14283856296296296
frozenset({'平板电脑'}),0.06889285185185186
frozenset({'调味品'}),0.06466276296296296
frozenset({'支付方式_现金'}),0.14286918518518518
frozenset({'卫浴用品'}),0.07396575555555555
frozenset({'蔬菜'}),0.06744536296296297
frozenset({'裤子'}),0.07114585925925926
frozenset({'玩具'}),0.06686872592592592
frozenset({'水产'}),0.0655160074074074
frozenset({'鞋子'}),0.0632343037037037
frozenset({'车载电子'}),0.06888514074074074
frozenset({'文具'}),0.07537228148148148
frozenset({'儿童课外读物'}),0.07001002962962963
frozenset({'肉类'}),0.06889398518518519
frozenset({'支付方式_银联'}),0.1428787111111111
frozenset({'零食'}),0.07201922222222222
frozenset({'音响'}),0.06320446666666667
frozenset({'支付方式_储蓄卡'}),0.14287942962962963
frozenset({'水果'}),0.07366896296296296
frozenset({'模型'}),0.0759296
frozenset({'智能手表'}),0.07030314814814814
frozenset({'支付方式_云闪付'}),0.1428521851851852
frozenset({'婴儿用品'}),0.06916871851851852
frozenset({'裙子'}),0.07221472592592593
frozenset({'床上用品'}),0.06693833333333334
frozenset({'支付方式_支付宝'}),0.1428352962962963
frozenset({'健身器材'}),0.07059355555555556
frozenset({'手套'}),0.06750016296296296
frozenset({'游戏机'}),0.07114345185185185
frozenset({'相机'}),0.06888159259259259
frozenset({'家具'}),0.06863259259259259
frozenset({'蛋奶'}),0.0669151111111111
frozenset({'益智玩具'}),0.07089191111111111
frozenset({'饮料'}),0.07307030370370371
frozenset({'户外装备'}),0.06662045925925926
frozenset({'厨具'}),0.0663394074074074
frozenset({'外套'}),0.06972815555555556
frozenset({'围巾'}),0.07561716296296296
frozenset({'米面'}),0.06777105925925926
frozenset({'办公用品'}),0.0658134
frozenset({'汽车装饰'}),0.06635956296296296
"frozenset({'支付方式_微信支付', '智能手机'})",0.010399422222222222
"frozenset({'支付方式_储蓄卡', '智能手机'})",0.010402066666666666
"frozenset({'支付方式_支付宝', '智能手机'})",0.010405762962962964
"frozenset({'支付方式_信用卡', '智能手机'})",0.01041525925925926
"frozenset({'支付方式_现金', '智能手机'})",0.010387985185185186
"frozenset({'智能手机', '支付方式_云闪付'})",0.010396718518518519
"frozenset({'支付方式_银联', '智能手机'})",0.010405296296296296
"frozenset({'耳机', '支付方式_微信支付'})",0.01020782962962963
"frozenset({'耳机', '支付方式_云闪付'})",0.010207140740740741
"frozenset({'耳机', '支付方式_储蓄卡'})",0.010195103703703703
"frozenset({'耳机', '支付方式_信用卡'})",0.01018705925925926
"frozenset({'耳机', '支付方式_银联'})",0.010198066666666667
"frozenset({'耳机', '支付方式_现金'})",0.010207651851851851
"frozenset({'耳机', '支付方式_支付宝'})",0.01020985925925926
"frozenset({'支付方式_现金', '内衣'})",0.010001666666666667
"frozenset({'支付方式_信用卡', '内衣'})",0.010008474074074075
"frozenset({'支付方式_银联', '内衣'})",0.010001985185185185
"frozenset({'支付方式_储蓄卡', '内衣'})",0.010012992592592593
"frozenset({'笔记本电脑', '支付方式_微信支付'})",0.010088014814814816
