itemsets,support
frozenset({'STATUS_部分退款'}),0.500140378789805
frozenset({'围巾'}),0.07569679532736885
frozenset({'零食'}),0.07201102973665507
frozenset({'裤子'}),0.07109176647726051
frozenset({'外套'}),0.06978648377180294
frozenset({'平板电脑'}),0.06883183687824598
frozenset({'蛋奶'}),0.06685853249666744
frozenset({'调味品'}),0.06462527397867984
frozenset({'STATUS_已退款'}),0.49985962121019495
frozenset({'智能手表'}),0.07050020190008337
frozenset({'内衣'}),0.07006012906313916
frozenset({'模型'}),0.07601738172131245
frozenset({'笔记本电脑'}),0.07061115359715536
frozenset({'水产'}),0.06569051695489511
frozenset({'智能手机'}),0.07290611121591858
frozenset({'健身器材'}),0.0707576667355966
frozenset({'饮料'}),0.07319504792704357
frozenset({'办公用品'}),0.06585516642843464
frozenset({'车载电子'}),0.0688978033519859
frozenset({'卫浴用品'}),0.07399873650198815
frozenset({'游戏机'}),0.07117906981582196
frozenset({'益智玩具'}),0.07088284300921628
frozenset({'玩具'}),0.06679932269678768
frozenset({'儿童课外读物'}),0.07001781094790978
frozenset({'文具'}),0.07541923827748201
frozenset({'手套'}),0.06722570437880473
frozenset({'鞋子'}),0.06329954344443497
frozenset({'相机'}),0.06889833677360645
frozenset({'水果'}),0.07373913797999278
frozenset({'耳机'}),0.07117586928609873
frozenset({'床上用品'}),0.06724775247245367
frozenset({'婴儿用品'}),0.0692230127333075
frozenset({'帽子'}),0.06898243958244467
frozenset({'蔬菜'}),0.0673981773694455
frozenset({'摄像机'}),0.06218629252237126
frozenset({'米面'}),0.0676979603201881
frozenset({'户外装备'}),0.06678367566258522
frozenset({'汽车装饰'}),0.06630128471041162
frozenset({'音响'}),0.06315800890778545
frozenset({'肉类'}),0.06884214969624305
frozenset({'家具'}),0.06865314063536561
frozenset({'上衣'}),0.06610302967477817
frozenset({'裙子'}),0.07238549171427307
frozenset({'厨具'}),0.06635942766705032
"frozenset({'围巾', 'STATUS_部分退款'})",0.03789320507980965
